City_ID,City,Country,Lat,Lng,Humidity,Max Temp,Cloudiness,Wind Speed,Description,Hotel Name
1672,Huesca,ES,42.1362,-0.4087,50,75.88,0,9.22,clear sky,Hotel Sancho Abarca SPA Huesca
1680,Awjilah,LY,29.1081,21.2869,59,80.37,0,13.02,clear sky,
1683,Jinxiang,CN,27.4327,120.6062,92,79.3,86,8.08,overcast clouds,Wolong Village
1684,Fereydun Kenar,IR,36.6864,52.5225,64,82.26,37,3.42,scattered clouds,Khezer Shahr Tourist Hotel
1689,Oistins,BB,13.0667,-59.5333,83,80.69,40,21.85,scattered clouds,Butterfly Beach Hotel
1696,Camocim,BR,-2.9022,-40.8411,72,79.34,6,17.81,clear sky,Hotel Ilha do Amor
1699,Faanui,PF,-16.4833,-151.75,79,78.17,10,14.88,light rain,Bora-Bora Pearl Beach Resort & Spa
1701,Diamantino,BR,-14.4086,-56.4461,25,85.64,0,5.82,clear sky,Hotel Delta
1705,Komsomolskiy,UZ,40.4272,71.7189,38,77.72,7,6.91,clear sky,Ikathouse
1708,Dwarka,IN,22.2394,68.9678,82,81.1,100,14.03,overcast clouds,Hotel Narayan Avezika Comfort
1712,Kandrian,PG,-6.2167,149.55,86,78.69,42,4.18,light rain,Kandrian Station
1713,Grenada,ES,37.1882,-3.6067,44,83.91,0,1.99,clear sky,HOTEL REINA CRISTINA
1716,Bandarbeyla,SO,9.4942,50.8122,78,77.83,93,15.79,light rain,JABIR HOTEL
1719,Salalah,OM,17.0151,54.0924,83,80.69,75,8.05,broken clouds,HAMDAN PLAZA HOTEL SALALAH
1727,Fergus Falls,US,46.283,-96.0776,36,77.0,91,19.55,overcast clouds,AmericInn by Wyndham Fergus Falls Conference Center
1728,Kattivakkam,IN,13.2167,80.3167,77,80.69,42,11.39,scattered clouds,Euronova Freezer
1730,Los Algarrobos,PA,8.5,-82.4333,70,84.61,40,9.22,scattered clouds,Waterfall Hostel
1731,Tautira,PF,-17.7333,-149.15,83,78.82,71,20.02,moderate rain,Pension Oaoa
1732,Kalmunai,LK,7.4167,81.8167,84,78.28,100,9.82,overcast clouds,VS Villa
1734,Maceio,BR,-9.6658,-35.7353,83,76.44,40,8.05,scattered clouds,Poutur Pousada
1736,Pacific Grove,US,36.6177,-121.9166,78,82.02,75,8.01,broken clouds,Lovers Point Inn
1737,Sola,VU,-13.8833,167.55,69,81.27,75,10.36,broken clouds,Leumerus Bungalows
1738,Shaowu,CN,27.3409,117.4831,95,75.2,92,2.01,overcast clouds,Yijie Express Hotel
1739,Ponta Delgada,PT,37.7333,-25.6667,88,75.92,20,9.22,few clouds,Vila Nova Hotel
1744,Shelburne,CA,44.0787,-80.2041,50,87.12,74,8.03,broken clouds,The Retreat at the Farm
1757,Puerto Carreno,CO,6.189,-67.4859,74,84.27,96,4.36,overcast clouds,Casa Hotel Victoria
1759,Presidencia Roque Saenz Pena,AR,-26.7852,-60.4388,34,85.64,32,11.92,scattered clouds,Hotel Gualok
1765,Ciudad Ojeda,VE,10.1964,-71.3082,65,87.6,92,6.93,overcast clouds,Amira minimarket
1773,Saint-Prosper,CA,46.2117,-70.4811,74,80.31,58,7.92,broken clouds,
1780,Basco,PH,20.4487,121.9702,76,85.3,92,14.05,overcast clouds,Nathaniel's Lodge
1781,Ingham,US,42.6,-84.3833,90,87.98,12,5.61,few clouds,Sunset Place
1785,Oriximina,BR,-1.7656,-55.8661,48,85.35,50,2.86,scattered clouds,Pousada Tia Amélia
1788,Buala,SB,-8.145,159.5921,78,81.59,44,11.1,light rain,Maringe Lagoon Lodge
1792,Belmonte,BR,-15.8631,-38.8828,86,75.7,3,8.32,clear sky,Pousada Monte Carmelo O Pão
1794,Shenjiamen,CN,29.9576,122.298,90,79.68,100,11.43,light rain,Jinjiang Inn Zhoushan Putuo Shenjiamen
1796,San Policarpo,PH,12.1791,125.5072,90,77.74,99,5.57,overcast clouds,Manong Aklan Resort
1798,Mayo,US,38.8876,-76.5119,83,82.38,1,0.0,clear sky,Resorts Resource Group International
1800,Nushki,PK,29.5542,66.0215,11,80.08,0,4.54,clear sky,Shams hotel
1805,Gangarampur,IN,25.4,88.5167,81,81.66,100,8.84,light rain,Parijat Lodge
1808,Oeiras,BR,-7.0253,-42.1311,30,84.09,5,6.17,clear sky,Hotel SESC Oeiras
1809,Matara,LK,5.9485,80.5353,85,77.61,100,4.56,overcast clouds,Amaloh Boutique Resort
1810,Vanimo,PG,-2.6741,141.3028,84,76.87,100,3.29,overcast clouds,Vahmoneh Lodge Vanimo
1818,Nhulunbuy,AU,-12.2333,136.7667,83,79.41,75,12.66,broken clouds,East Arnhem Real Estate
1823,Gusau,NG,12.1628,6.6614,75,77.05,87,6.73,overcast clouds,GUEST INN
1824,Areia Branca,BR,-4.9561,-37.1369,58,82.6,7,18.5,clear sky,Areia Branca Apart Hotel
1827,Abnub,EG,27.2696,31.1511,22,88.02,0,10.25,clear sky,Romany Adly Gad
1830,Hojo,JP,33.9766,132.7777,100,77.14,75,5.75,broken clouds,Seapa Makoto
1831,Salur,IN,18.5333,83.2167,89,77.47,68,2.01,broken clouds,Pradeep
1834,Boljoon,PH,9.6281,123.4785,80,79.47,100,1.61,overcast clouds,Granada Beach Resort
1839,Ancona,IT,43.55,13.1667,44,81.39,23,4.61,few clouds,Casa Vandina - B&B
1842,Nouadhibou,MR,20.931,-17.0347,45,85.98,1,20.71,clear sky,El Medina
1847,Meridian,US,43.6121,-116.3915,28,83.32,1,1.01,clear sky,Courtyard by Marriott Boise West/Meridian
1849,Nha Trang,VN,12.25,109.1833,85,77.0,94,5.41,overcast clouds,Sheraton Nha Trang Hotel & Spa
1856,Guntakal,IN,15.1667,77.3833,66,79.57,94,9.31,overcast clouds,Vasavi Pipes Office
1860,Veraval,IN,20.9,70.3667,85,79.99,71,8.05,broken clouds,Lords Inn Somnath
1867,Kayes,ML,14.0,-11.0,90,77.99,100,4.61,overcast clouds,
1870,Yingcheng,CN,30.95,113.55,97,86.05,100,4.7,overcast clouds,Yingcheng Hotel
1871,Harper,LR,4.375,-7.7169,89,75.58,94,3.4,overcast clouds,Screensaver
1877,Huangmei,CN,30.1924,116.025,95,77.81,100,2.59,overcast clouds,Tianxiachan Hotel
1878,Tateyama,JP,34.9833,139.8667,89,78.82,100,2.33,light rain,Tateyama Seaside Hotel
1880,Atikokan,CA,48.7555,-91.6216,26,79.29,0,8.5,clear sky,Quetico Inn (formerly Radisson)
1882,Pa Sang,TH,18.5262,98.9394,90,77.2,100,1.83,overcast clouds,โรงแรม จามจุรี 99
1883,Fort Wellington,GY,6.4,-57.6,81,80.4,80,6.91,broken clouds,TE'AMO Entertainment Park
1889,Elko,US,41.0002,-115.5012,18,84.74,0,8.01,clear sky,
1890,Jiaonan,CN,35.8786,119.9753,94,75.22,100,4.25,moderate rain,Vienna Hotel Qingdao Huangdao
1892,Tucuman,AR,-26.8241,-65.2226,26,80.6,0,4.61,clear sky,HOTEL MIAMI
1893,Ailigandi,PA,9.2333,-78.0167,82,82.49,79,8.43,broken clouds,Akwa Reef Lodge
1900,Zomin,UZ,39.9606,68.3958,24,76.17,0,4.99,clear sky,Orol hotel
1902,Santa Luzia,BR,-19.7697,-43.8514,39,75.54,0,6.91,clear sky,Pousada Chao Earth
1903,Mashhad,IR,36.297,59.6062,35,75.34,0,4.61,clear sky,Khanye Sabz Hotel
1909,San Francisco Del Mar,MX,16.2333,-94.65,64,87.87,98,11.59,overcast clouds,
1911,Tezu,IN,27.9167,96.1667,100,75.29,100,2.62,moderate rain,Circuit House
1912,Mitsamiouli,KM,-11.3847,43.2844,72,75.79,1,1.99,clear sky,Foyer ADM
1915,Zhanaozen,KZ,43.3,52.8,19,82.89,34,9.01,scattered clouds,K.korabay 28A
1917,Porto Novo,BJ,6.4965,2.6036,89,76.82,100,3.6,moderate rain,Tour Eiffel Hotel Benin
1919,Tibacuy,CO,4.3511,-72.4564,70,85.59,40,2.28,light rain,hospedaje las palmas
1920,Sabang,ID,5.8933,95.3214,74,81.57,97,5.01,overcast clouds,Hotel Citra
1923,Leland,US,34.2563,-78.0447,83,85.19,20,6.91,few clouds,Leland Station
1924,Kieta,PG,-6.2167,155.6333,75,82.24,62,6.2,light rain,Uruna Bay Retreat
1927,Narasapur,IN,16.45,81.6667,89,79.2,10,7.52,clear sky,TCI Xps
1930,Ajdabiya,LY,30.7554,20.2263,42,81.16,0,11.63,clear sky,Almadina Hotel
1931,Virginia Beach,US,36.8529,-75.978,78,84.24,90,5.75,light rain,Hilton Virginia Beach Oceanfront
1932,Wajima,JP,37.4,136.9,89,76.59,100,7.99,light rain,Wajiima Onsen Yashio
1934,Bac Lieu,VN,9.285,105.7244,86,79.54,100,8.75,overcast clouds,Khách sạn Sài Gòn Bạc Liêu
1935,Xacmaz,AZ,41.4635,48.806,52,75.81,18,3.62,few clouds,SAHİL HOTEL
1939,Kampot,KH,10.6167,104.1833,87,82.45,100,6.31,overcast clouds,Two Moons Hotel
1940,Mount Pleasant,US,32.7941,-79.8626,90,84.18,90,5.01,mist,Best Western Patriots Point
1942,Owen Sound,CA,44.5672,-80.9435,75,83.16,6,4.0,clear sky,Comfort Inn
1946,Viransehir,TR,37.2353,39.7631,16,88.03,0,6.91,clear sky,Viranşehir Öğretmenevi
1948,High Rock,BS,26.6208,-78.2833,71,87.82,99,11.3,overcast clouds,Hideaway Bahamas Beach Club
1950,Wagar,SD,16.1525,36.2032,51,79.63,100,15.12,overcast clouds,
1952,Znamensk,RU,48.5842,45.7338,44,78.26,95,6.4,overcast clouds,"Gostinitsa ""Znamensk"""
1954,Mengcheng,CN,33.2579,116.5655,98,75.54,100,6.2,overcast clouds,Jinliang Hotel
1962,Dalbandin,PK,28.8947,64.4101,9,84.58,11,2.71,few clouds,Sanjrani House
1963,Machiques,VE,10.0644,-72.545,69,85.51,95,4.29,overcast clouds,hotel el markes
1969,Nioro,GM,13.35,-15.75,94,75.47,100,10.76,overcast clouds,
1971,Lakatoro,VU,-16.0999,167.4164,71,76.32,71,14.34,broken clouds,Lakatoro Palm Lodge
1973,Nautla,MX,20.2167,-96.7833,76,83.23,27,5.97,scattered clouds,Casa Blanca
1974,Tiarei,PF,-17.5333,-149.3333,84,78.82,49,18.59,moderate rain,Le Rocher de Tahiti
1976,Darnah,LY,32.767,22.6367,76,78.15,0,16.96,clear sky,فندق الفردوس
1977,Hyderabad,IN,17.3753,78.4744,66,77.16,75,0.0,broken clouds,Star Inn
1978,Boa Vista,BR,2.8197,-60.6733,58,87.78,75,9.22,broken clouds,Aipana Plaza Hotel
1984,Trairi,BR,-3.2778,-39.2689,78,78.13,11,13.18,few clouds,janelas do mar
1987,Monroe,US,43.1501,-77.6831,72,84.58,75,6.91,broken clouds,"Staybridge Suites Rochester University, an IHG Hotel"
1990,Fuzhou,CN,26.0614,119.3061,98,80.49,87,2.33,overcast clouds,Shangri La Hotel Fuzhou
1993,Sioux Lookout,CA,50.1001,-91.917,43,75.58,75,10.36,broken clouds,Knobby's Fly-In Camps
