City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description,Country
83,Lagoa,39.05,-27.9833,74.35,89,100,12.82,overcast clouds,
84,San Ramon,37.7799,-121.978,86.11,49,0,5.01,clear sky,
85,Fort Nelson,58.8053,-122.7002,59.59,41,97,4.61,overcast clouds,
86,Mangan,27.5167,88.5333,75.88,98,100,0.98,overcast clouds,
87,Broome,42.2506,-75.833,84.06,91,100,1.01,overcast clouds,
88,Saint George,37.1041,-113.5841,98.44,21,0,1.01,clear sky,
89,Yaguachi,-2.1167,-79.6833,85.71,48,84,6.76,broken clouds,
90,Ancud,-41.8697,-73.8203,47.43,70,91,9.22,overcast clouds,
91,Aklavik,68.2191,-135.0107,56.26,53,100,3.67,overcast clouds,
92,Ambilobe,-13.2,49.05,68.83,74,0,4.94,clear sky,
93,Zhezkazgan,47.8043,67.7144,73.83,36,0,12.44,clear sky,
94,Tiksi,71.6872,128.8694,40.35,98,100,4.74,overcast clouds,
95,Avera,33.194,-82.5271,90.72,53,71,8.12,broken clouds,
96,Bambous Virieux,-20.3428,57.7575,67.21,61,12,11.63,few clouds,
97,Mount Gambier,-37.8333,140.7667,42.91,88,70,5.86,broken clouds,
98,Nabire,-3.3667,135.4833,74.14,96,100,4.9,overcast clouds,
99,Asosa,10.0667,34.5333,60.66,94,100,3.96,light rain,
100,San Cristobal,7.7669,-72.225,82.58,53,22,5.95,few clouds,
101,Yarim,14.298,44.3779,63.14,47,69,5.59,broken clouds,
102,Hofn,64.2539,-15.2082,54.57,90,100,2.13,overcast clouds,
103,Atuona,-9.8,-139.0333,77.65,68,2,17.9,clear sky,
104,Khatanga,71.9667,102.5,47.07,88,100,11.18,overcast clouds,
105,Cap Malheureux,-19.9842,57.6142,67.46,67,10,1.99,clear sky,
106,Buchanan,5.8808,-10.0467,78.76,92,100,7.92,moderate rain,
107,Ribeira Grande,38.5167,-28.7,75.18,91,97,20.36,overcast clouds,
108,Blumenau,-26.9194,-49.0661,72.59,81,0,1.01,clear sky,
109,Kuryk,43.2,51.65,85.73,28,97,5.57,overcast clouds,
110,Tuktoyaktuk,69.4541,-133.0374,42.87,92,100,12.97,overcast clouds,
111,Mahebourg,-20.4081,57.7,67.24,61,14,11.72,few clouds,
112,Port Blair,11.6667,92.75,79.41,81,76,8.57,broken clouds,
113,Suntar,62.1444,117.6319,46.36,89,59,4.59,broken clouds,
114,Vanavara,60.34,102.2797,45.36,91,39,2.84,scattered clouds,
115,Karakol,42.4907,78.3936,60.89,45,59,4.03,broken clouds,
116,Baghmara,23.795,86.2085,80.42,78,85,6.06,light rain,
117,Baykit,61.67,96.37,51.91,90,93,2.64,overcast clouds,
118,Katsuura,35.1333,140.3,78.91,92,100,6.15,light rain,
119,Vestmannaeyjar,63.4427,-20.2734,55.67,92,100,21.94,overcast clouds,
120,Le Port,-20.9373,55.2919,64.4,66,44,2.33,scattered clouds,
121,Jasper,37.2001,-94.3502,95.83,57,38,3.0,scattered clouds,
122,Lebu,-37.6167,-73.65,50.11,64,81,4.47,broken clouds,
123,Korhogo,9.45,-5.6333,72.25,90,40,5.08,scattered clouds,
124,Georgetown,5.4112,100.3354,78.89,83,40,4.61,thunderstorm with light rain,
125,Szombathely,47.2309,16.6216,68.99,67,100,1.23,moderate rain,
126,Honiara,-9.4333,159.95,78.78,82,48,6.71,scattered clouds,
127,Yayva,59.3303,57.2641,68.18,56,99,6.98,overcast clouds,
128,Saint-Augustin,51.226,-58.6502,61.83,60,100,14.47,overcast clouds,
129,Qeshm,26.9581,56.2719,89.47,78,81,3.8,broken clouds,
130,Mar Del Plata,-38.0023,-57.5575,52.79,80,75,6.76,broken clouds,
131,Vaitape,-16.5167,-151.75,78.24,78,10,15.77,light rain,
132,Nikolskoye,59.7035,30.7861,55.29,98,85,4.94,overcast clouds,
133,Nuuk,64.1835,-51.7216,45.19,87,24,3.47,few clouds,
134,Ortakoy,38.7373,34.0387,68.25,44,0,5.12,clear sky,
135,Itarema,-2.9248,-39.9167,78.55,76,9,17.27,clear sky,
136,Harlingen,26.1906,-97.6961,97.34,55,10,17.74,clear sky,
137,Xining,36.6167,101.7667,51.76,86,9,2.48,clear sky,
138,Petropavlovsk-Kamchatskiy,53.0452,158.6483,54.19,100,90,2.24,light intensity drizzle,
139,Namie,37.4833,141.0,77.72,98,100,6.17,moderate rain,
140,Kahului,20.8947,-156.47,78.96,96,15,9.82,few clouds,
141,Quatre Cocos,-20.2078,57.7625,67.08,62,14,11.5,few clouds,
142,Ous,60.9058,61.5186,71.87,49,39,9.37,scattered clouds,
143,Chaplynka,46.3651,33.5403,69.35,59,45,2.1,scattered clouds,
144,Ranong,9.9658,98.6348,78.49,83,86,7.2,overcast clouds,
145,Concordia,-31.393,-58.0209,67.93,64,87,7.78,overcast clouds,
146,Samarai,-10.6167,150.6667,79.66,81,64,9.86,broken clouds,
147,Provideniya,64.3833,-173.3,50.11,66,0,2.24,clear sky,
148,Gimli,50.6336,-96.9907,60.44,80,89,1.39,overcast clouds,
149,Forssa,60.8146,23.6215,52.07,91,45,8.77,scattered clouds,
150,Hami,42.8,93.45,67.23,21,0,21.9,clear sky,
151,Kortkeros,61.8106,51.5806,62.6,92,99,7.94,overcast clouds,
152,Kauhajoki,62.4333,22.1833,46.65,85,7,6.6,clear sky,
153,Cherskiy,68.75,161.3,57.06,62,31,7.02,scattered clouds,
154,Isetskoye,56.4858,65.3226,70.74,45,2,6.76,clear sky,
155,Cabo San Lucas,22.8909,-109.9124,85.51,79,90,5.01,overcast clouds,
156,Guerrero Negro,27.9769,-114.0611,76.82,53,0,16.28,clear sky,
157,Saint-Esteve,42.7131,2.843,77.52,58,75,8.05,broken clouds,
158,Havelock,34.8791,-76.9013,85.98,82,22,9.71,few clouds,
159,Lompoc,34.6391,-120.4579,79.57,70,40,10.0,scattered clouds,
160,Butaritari,3.0707,172.7902,82.51,71,58,10.18,light rain,
161,Prata,-19.3072,-48.9242,80.62,24,0,5.14,clear sky,
162,Half Moon Bay,37.4636,-122.4286,85.8,66,20,1.99,few clouds,
163,Airai,-8.9266,125.4092,54.84,79,31,2.84,scattered clouds,
164,Pangody,65.85,74.4859,61.74,64,98,4.47,overcast clouds,
165,Ca Mau,9.1769,105.15,78.04,88,100,4.16,overcast clouds,
166,Gubkinskiy,64.434,76.5026,65.14,58,100,5.53,overcast clouds,
167,Arlit,18.7369,7.3853,99.86,14,52,10.4,broken clouds,
168,Bonavista,48.6499,-53.1147,58.12,72,85,20.02,overcast clouds,
169,Acapulco,16.8634,-99.8901,78.35,90,100,6.08,overcast clouds,
170,Lata,40.1629,-8.3327,72.05,85,0,1.77,clear sky,
171,Panacan,9.2463,118.4082,79.32,82,100,5.75,moderate rain,
172,Kibaya,-5.3,36.5667,59.23,87,0,6.15,clear sky,
173,Ilulissat,69.2167,-51.1,46.42,76,42,5.75,scattered clouds,
174,Katherine,-14.4667,132.2667,66.52,55,5,8.05,clear sky,
175,Krasnozerskoye,53.9828,79.2374,56.98,71,0,3.51,clear sky,
176,Rock Falls,41.7798,-89.689,86.14,51,1,3.44,clear sky,
177,Kytmanovo,53.4593,85.4479,48.43,83,0,4.79,clear sky,
178,Mount Isa,-20.7333,139.5,62.37,51,90,2.3,overcast clouds,
179,Jacqueville,5.2052,-4.4146,76.91,90,100,3.44,overcast clouds,
180,Upernavik,72.7868,-56.1549,38.93,88,95,14.47,overcast clouds,
181,Kodiak,57.79,-152.4072,55.15,99,100,9.08,light rain,
182,Gogrial,8.5332,28.1004,73.0,86,100,6.82,light rain,
183,Meulaboh,4.1363,96.1285,76.96,88,100,4.14,moderate rain,
184,Albert Lea,43.648,-93.3683,78.71,26,0,14.05,clear sky,
185,Bisira,8.5196,-81.7115,67.59,86,98,0.4,overcast clouds,
186,Lasa,46.6166,10.7002,63.36,92,66,3.49,broken clouds,
187,Sychevka,55.8252,34.2736,57.04,64,100,6.22,overcast clouds,
188,Carnarvon,-24.8667,113.6333,64.02,45,99,15.7,overcast clouds,
189,Shache,38.4167,77.2406,81.16,21,98,3.38,overcast clouds,
190,Shimoda,34.6667,138.95,79.84,84,100,10.8,light rain,
191,Dillon,34.4166,-79.3712,86.81,64,63,7.47,broken clouds,
192,Ilheus,-14.7889,-39.0494,70.34,90,32,7.07,scattered clouds,
193,Dingle,10.9995,122.6711,75.11,91,99,3.44,overcast clouds,
194,Longyearbyen,78.2186,15.6401,40.84,70,75,0.0,broken clouds,
195,Bubaque,11.2833,-15.8333,79.75,77,100,10.47,overcast clouds,
196,Larsnes,62.2028,5.5773,54.86,87,27,9.46,scattered clouds,
197,Rawson,-43.3002,-65.1023,44.01,91,100,26.49,light rain,
198,Buin,-33.7333,-70.75,60.84,51,72,3.18,broken clouds,
199,Talnakh,69.4865,88.3972,50.4,98,99,2.01,light rain,
200,Kimparana,12.8347,-4.9244,78.91,75,97,6.04,overcast clouds,
201,Kodinsk,58.6881,99.1844,45.43,83,67,2.98,broken clouds,
202,Homestead,25.4687,-80.4776,92.01,71,75,5.01,broken clouds,
203,Constitucion,-35.3333,-72.4167,53.49,61,19,8.19,few clouds,
204,Saldanha,-33.0117,17.9442,53.26,82,0,9.84,clear sky,
205,San Lorenzo,-25.3333,-57.5333,92.14,20,0,4.0,clear sky,
206,Birecik,37.0294,37.9903,83.41,20,0,4.0,clear sky,
207,Maua,-23.6678,-46.4614,80.37,30,0,3.98,clear sky,
208,Leshukonskoye,64.8989,45.7622,55.33,98,100,10.85,overcast clouds,
209,Farah,32.5,62.5,77.52,16,0,3.83,clear sky,
210,Auki,-8.7676,160.7034,78.94,82,39,5.61,scattered clouds,
211,Khani,41.9563,42.9566,65.77,90,100,2.95,overcast clouds,
212,Esperance,-33.8667,121.9,54.9,49,100,6.85,overcast clouds,
213,Jackson,42.4165,-122.8345,84.92,31,46,5.01,scattered clouds,
214,Severo-Kurilsk,50.6789,156.125,54.23,95,79,5.55,broken clouds,
215,Vao,-22.6667,167.4833,68.79,55,76,17.74,broken clouds,
